id,active_ingredient,brand_name,manufacturer,therapeutic_group,pharmacological_class,drug_type,strength,dosage_form,route,indication,indication_category,side_effects,pregnancy_category,controlled_substance,otc_or_rx,food_interaction,alcohol_interaction,num_ingredients,is_combination_drug
8050,Cetirizine,Zyrtec,Beximco,Antihistamine,H1 antagonist,Small molecule,5 mg,Capsule,Oral,Allergy,General,Fatigue,B,No,OTC,0,1,1,0
8051,Omeprazole,Losectil,Incepta,Antacid,Proton pump inhibitor,Small molecule,20 mg,Capsule,IV,Peptic ulcer,Gastrointestinal,Headache,C,No,OTC,1,0,1,0
8052,Amoxicillin + Clavulanate,Clavam,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Syrup,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,2,1
8053,Lisinopril,Lisinace,Square,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Heart failure,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
8054,Amlodipine,Amdocal,Renata,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Tablet,Oral,Angina,Cardiovascular,Edema,C,No,RX,1,1,1,0
8055,Losartan,Losatin,MSD,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Cough,D,No,RX,0,1,1,0
8056,Ibuprofen,Brufen,ACI,Analgesic,NSAID,Small molecule,200 mg,Capsule,Oral,Fever,General,Headache,D,No,OTC,1,1,1,0
8057,Paracetamol,Renova,ACI,Analgesic,Para-aminophenol,Small molecule,1000 mg,Tablet,IV,Fever,General,Nausea,A,No,OTC,0,1,1,0
8058,Salbutamol,Brodil,GSK,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Inhalation,Asthma,Respiratory,Palpitation,C,No,RX,0,0,1,0
8059,Azithromycin,Zimax,Pfizer,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Syrup,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,1,0
8060,Amlodipine,Norvasc,Renata,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Capsule,Oral,Hypertension,Cardiovascular,Edema,C,No,RX,1,1,1,0
8061,Amoxicillin + Clavulanate,Amoclav,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Tablet,Oral,Sinusitis,Infectious,Diarrhea,B,No,RX,0,0,2,1
8062,Losartan,Losatin,Novartis,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
8063,Amoxicillin + Clavulanate,Amoclav,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Syrup,Oral,Sinusitis,Infectious,Diarrhea,B,No,RX,0,0,2,1
8064,Metformin,Formet,Beximco,Antidiabetic,Biguanide,Small molecule,1000 mg,Capsule,Oral,Diabetes,Endocrine,Diarrhea,B,No,RX,1,1,1,0
8065,Ibuprofen,Advil,Square,Analgesic,NSAID,Small molecule,600 mg,Syrup,Oral,Pain,General,Nausea,D,No,OTC,1,1,1,0
8066,Atorvastatin,Atorin,Beximco,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
8067,Salbutamol,Ventolin,Incepta,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Inhalation,Asthma,Respiratory,Palpitation,C,No,RX,0,0,1,0
8068,Insulin Glargine,Basalin,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Hypoglycemia,C,No,RX,1,1,1,0
8069,Fluoxetine,Depzac,Square,Antidepressant,SSRI,Small molecule,10 mg,Tablet,Oral,OCD,Neurological,Dizziness,C,No,RX,0,1,1,0
8070,Atorvastatin,Atocor,Pfizer,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Myalgia,X,No,RX,1,1,1,0
8071,Ciprofloxacin,Flocin,Bayer,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Injection,IV,Urinary tract infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
8072,Ciprofloxacin,Ciprosin,Incepta,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Syrup,IV,Respiratory infection,Infectious,Dizziness,C,No,RX,1,0,1,0
8073,Ciprofloxacin,Flocin,Square,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Syrup,IV,Urinary tract infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
8074,Insulin Glargine,Glaritus,Beximco,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
8075,Losartan,Losartan-MSD,Novartis,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Heart failure,Cardiovascular,Cough,D,No,RX,0,1,1,0
8076,Fluoxetine,Fluoxin,Eli Lilly,Antidepressant,SSRI,Small molecule,20 mg,Tablet,Oral,Panic disorder,Neurological,Insomnia,C,No,RX,0,1,1,0
8077,Azithromycin,Zithromax,Incepta,Antibiotic,Macrolide,Small molecule,250 mg,Tablet,Oral,Skin infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
8078,Amoxicillin + Clavulanate,Moxaclave,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Syrup,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,2,1
8079,Losartan,Losartan-MSD,MSD,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Heart failure,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
8080,Atorvastatin,Storvas,Renata,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Myalgia,X,No,RX,1,1,1,0
8081,Fluoxetine,Flutin,Beximco,Antidepressant,SSRI,Small molecule,40 mg,Capsule,Oral,Panic disorder,Neurological,Headache,C,No,RX,0,1,1,0
8082,Salbutamol,Sultolin,Square,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Inhalation,Bronchospasm,Respiratory,Headache,C,No,RX,0,0,1,0
8083,Amlodipine,Amdocal,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Capsule,Oral,Hypertension,Cardiovascular,Flushing,C,No,RX,1,1,1,0
8084,Metformin,Glycomet,Renata,Antidiabetic,Biguanide,Small molecule,1000 mg,Capsule,Oral,Insulin resistance,Endocrine,Diarrhea,B,No,RX,1,1,1,0
8085,Cetirizine,Cetrizin,Incepta,Antihistamine,H1 antagonist,Small molecule,10 mg,Capsule,Oral,Allergic rhinitis,General,Dry mouth,B,No,OTC,0,1,1,0
8086,Insulin Glargine,Glaritus,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
8087,Atorvastatin,Storvas,Pfizer,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Nausea,X,No,RX,1,1,1,0
8088,Atorvastatin,Atorin,Renata,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Headache,X,No,RX,1,1,1,0
8089,Omeprazole,Seclo,ACI,Antacid,Proton pump inhibitor,Small molecule,20 mg,Injection,IV,GERD,Gastrointestinal,Headache,C,No,OTC,1,0,1,0
8090,Salbutamol,Brodil,Square,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Syrup,Oral,Bronchospasm,Respiratory,Tremor,C,No,RX,0,0,1,0
8091,Metformin,Glucophage,Renata,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Diabetes,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
8092,Cetirizine,Zyrtec,Beximco,Antihistamine,H1 antagonist,Small molecule,10 mg,Capsule,Oral,Allergy,General,Drowsiness,B,No,OTC,0,1,1,0
8093,Ciprofloxacin,Ciprosin,Square,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Syrup,IV,Infection,Infectious,Headache,C,No,RX,1,0,1,0
8094,Amlodipine,Amdocal,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Capsule,Oral,Coronary artery disease,Cardiovascular,Flushing,C,No,RX,1,1,1,0
8095,Amoxicillin + Clavulanate,Clavam,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,2,1
8096,Metformin,Glycomet,Incepta,Antidiabetic,Biguanide,Small molecule,850 mg,Tablet,Oral,Diabetes,Endocrine,Diarrhea,B,No,RX,1,1,1,0
8097,Insulin Glargine,Lantus,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
8098,Amlodipine,Norvasc,Renata,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Tablet,Oral,Angina,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
8099,Paracetamol,Tylenol,Incepta,Analgesic,Para-aminophenol,Small molecule,1000 mg,Capsule,Oral,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
8100,Atorvastatin,Atorin,Renata,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Nausea,X,No,RX,1,1,1,0
8101,Amoxicillin + Clavulanate,Clavam,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Tablet,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
8102,Azithromycin,Azithrin,ACI,Antibiotic,Macrolide,Small molecule,500 mg,Syrup,Oral,Infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
8103,Azithromycin,Zithromax,Square,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Capsule,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,1,0
8104,Metformin,Glucophage,Incepta,Antidiabetic,Biguanide,Small molecule,500 mg,Capsule,Oral,Diabetes,Endocrine,Vomiting,B,No,RX,1,1,1,0
8105,Salbutamol,Sultolin,ACI,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Syrup,Oral,Bronchospasm,Respiratory,Headache,C,No,RX,0,0,1,0
8106,Fluoxetine,Depzac,Beximco,Antidepressant,SSRI,Small molecule,40 mg,Tablet,Oral,OCD,Neurological,Nausea,C,No,RX,0,1,1,0
8107,Atorvastatin,Atorin,Square,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Headache,X,No,RX,1,1,1,0
8108,Omeprazole,Seclo,ACI,Antacid,Proton pump inhibitor,Small molecule,10 mg,Injection,IV,Peptic ulcer,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
8109,Azithromycin,Zimax,Pfizer,Antibiotic,Macrolide,Small molecule,250 mg,Tablet,Oral,Infection,Infectious,Vomiting,B,No,RX,0,0,1,0
8110,Ibuprofen,Nurofen,ACI,Analgesic,NSAID,Small molecule,600 mg,Syrup,Oral,Pain,General,Dizziness,D,No,OTC,1,1,1,0
8111,Amlodipine,Amdocal,Square,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
8112,Paracetamol,Tylenol,Renata,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Capsule,IV,Pain,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
8113,Paracetamol,Renova,Beximco,Analgesic,Para-aminophenol,Small molecule,1000 mg,Capsule,IV,Fever,General,Nausea,A,No,OTC,0,1,1,0
8114,Omeprazole,Prilosec,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,20 mg,Capsule,Oral,Peptic ulcer,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
8115,Omeprazole,Losectil,Square,Antacid,Proton pump inhibitor,Small molecule,40 mg,Injection,IV,Acid reflux,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
8116,Atorvastatin,Storvas,Square,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Headache,X,No,RX,1,1,1,0
8117,Insulin Glargine,Lantus,Sanofi,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
8118,Insulin Glargine,Toujeo,Sanofi,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
8119,Ibuprofen,Brufen,ACI,Analgesic,NSAID,Small molecule,400 mg,Tablet,Oral,Inflammation,General,Nausea,D,No,OTC,1,1,1,0
8120,Metformin,Formet,Beximco,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Diabetes,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
8121,Paracetamol,Napa,Renata,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Tablet,Oral,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
8122,Insulin Glargine,Basalin,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
8123,Amoxicillin + Clavulanate,Clavam,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Tablet,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
8124,Fluoxetine,Depzac,Eli Lilly,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,Panic disorder,Neurological,Dizziness,C,No,RX,0,1,1,0
8125,Paracetamol,Napa,Renata,Analgesic,Para-aminophenol,Small molecule,1000 mg,Capsule,Oral,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
8126,Fluoxetine,Fluoxin,Beximco,Antidepressant,SSRI,Small molecule,40 mg,Tablet,Oral,Panic disorder,Neurological,Insomnia,C,No,RX,0,1,1,0
8127,Azithromycin,Azithrin,Square,Antibiotic,Macrolide,Small molecule,250 mg,Tablet,Oral,Infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
8128,Ciprofloxacin,Flocin,Incepta,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Injection,IV,Urinary tract infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
8129,Lisinopril,Lisinace,Merck,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Heart failure,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
8130,Metformin,Glucophage,ACI,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Insulin resistance,Endocrine,Nausea,B,No,RX,1,1,1,0
8131,Salbutamol,Sultolin,ACI,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Inhaler,Oral,Bronchospasm,Respiratory,Tachycardia,C,No,RX,0,0,1,0
8132,Lisinopril,Prinivil,Renata,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Hypertension,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
8133,Atorvastatin,Atorin,Square,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Myalgia,X,No,RX,1,1,1,0
8134,Salbutamol,Ventolin,Square,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Oral,Asthma,Respiratory,Palpitation,C,No,RX,0,0,1,0
8135,Fluoxetine,Fluoxin,Beximco,Antidepressant,SSRI,Small molecule,20 mg,Capsule,Oral,Depression,Neurological,Dizziness,C,No,RX,0,1,1,0
8136,Fluoxetine,Depzac,Renata,Antidepressant,SSRI,Small molecule,20 mg,Capsule,Oral,Panic disorder,Neurological,Dizziness,C,No,RX,0,1,1,0
8137,Amoxicillin + Clavulanate,Moxaclave,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Tablet,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
8138,Amoxicillin + Clavulanate,Moxaclave,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Sinusitis,Infectious,Rash,B,No,RX,0,0,2,1
8139,Atorvastatin,Storvas,Pfizer,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Myalgia,X,No,RX,1,1,1,0
8140,Losartan,Losacar,Beximco,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Heart failure,Cardiovascular,Cough,D,No,RX,0,1,1,0
8141,Losartan,Losatin,Beximco,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
8142,Amlodipine,Amcard,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Tablet,Oral,Coronary artery disease,Cardiovascular,Edema,C,No,RX,1,1,1,0
8143,Cetirizine,Cetrizin,ACI,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Allergic rhinitis,General,Drowsiness,B,No,OTC,0,1,1,0
8144,Insulin Glargine,Glaritus,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
8145,Salbutamol,Ventolin,Square,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Tablet,Inhalation,Asthma,Respiratory,Palpitation,C,No,RX,0,0,1,0
8146,Salbutamol,Ventolin,ACI,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Inhaler,Inhalation,Bronchospasm,Respiratory,Tachycardia,C,No,RX,0,0,1,0
8147,Salbutamol,Brodil,Square,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Tablet,Inhalation,COPD,Respiratory,Tremor,C,No,RX,0,0,1,0
8148,Amoxicillin + Clavulanate,Amoclav,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Sinusitis,Infectious,Vomiting,B,No,RX,0,0,2,1
8149,Azithromycin,Zimax,Pfizer,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Syrup,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,1,0
8150,Cetirizine,Cetrizin,Incepta,Antihistamine,H1 antagonist,Small molecule,5 mg,Capsule,Oral,Allergic rhinitis,General,Headache,B,No,OTC,0,1,1,0
8151,Amoxicillin + Clavulanate,Clavam,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Respiratory infection,Infectious,Vomiting,B,No,RX,0,0,2,1
8152,Metformin,Glucophage,ACI,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Diabetes,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
8153,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Hypertension,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
8154,Insulin Glargine,Toujeo,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
8155,Ibuprofen,Profen,Incepta,Analgesic,NSAID,Small molecule,600 mg,Syrup,Oral,Inflammation,General,Nausea,D,No,OTC,1,1,1,0
8156,Metformin,Glucophage,ACI,Antidiabetic,Biguanide,Small molecule,850 mg,Capsule,Oral,Insulin resistance,Endocrine,Vomiting,B,No,RX,1,1,1,0
8157,Cetirizine,Cetrizin,Beximco,Antihistamine,H1 antagonist,Small molecule,5 mg,Tablet,Oral,Urticaria,General,Dry mouth,B,No,OTC,0,1,1,0
8158,Paracetamol,Napa,Square,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Tablet,Oral,Pain,General,Rash,A,No,OTC,0,1,1,0
8159,Metformin,Formet,Beximco,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Diabetes,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
8160,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
8161,Losartan,Losatin,MSD,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Heart failure,Cardiovascular,Fatigue,D,No,RX,0,1,1,0
8162,Ibuprofen,Nurofen,Renata,Analgesic,NSAID,Small molecule,600 mg,Capsule,Oral,Inflammation,General,Nausea,D,No,OTC,1,1,1,0
8163,Ciprofloxacin,Bacquinor,Incepta,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Tablet,IV,Respiratory infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
8164,Metformin,Glucophage,ACI,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Diabetes,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
8165,Losartan,Losatin,Novartis,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Hypertension,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
8166,Fluoxetine,Depzac,Square,Antidepressant,SSRI,Small molecule,10 mg,Tablet,Oral,OCD,Neurological,Insomnia,C,No,RX,0,1,1,0
8167,Paracetamol,Panadol,Renata,Analgesic,Para-aminophenol,Small molecule,500 mg,Tablet,IV,Pain,General,Nausea,A,No,OTC,0,1,1,0
8168,Amlodipine,Amlogard,Square,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Tablet,Oral,Coronary artery disease,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
8169,Lisinopril,Listril,Renata,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Heart failure,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
8170,Fluoxetine,Flutin,Square,Antidepressant,SSRI,Small molecule,40 mg,Capsule,Oral,Depression,Neurological,Headache,C,No,RX,0,1,1,0
8171,Fluoxetine,Flutin,Renata,Antidepressant,SSRI,Small molecule,20 mg,Capsule,Oral,Panic disorder,Neurological,Nausea,C,No,RX,0,1,1,0
8172,Ibuprofen,Nurofen,ACI,Analgesic,NSAID,Small molecule,600 mg,Syrup,Oral,Fever,General,Gastric irritation,D,No,OTC,1,1,1,0
8173,Metformin,Obimet,Beximco,Antidiabetic,Biguanide,Small molecule,850 mg,Tablet,Oral,Diabetes,Endocrine,Vomiting,B,No,RX,1,1,1,0
8174,Insulin Glargine,Lantus,Beximco,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
8175,Fluoxetine,Depzac,Renata,Antidepressant,SSRI,Small molecule,10 mg,Tablet,Oral,Panic disorder,Neurological,Insomnia,C,No,RX,0,1,1,0
8176,Amoxicillin + Clavulanate,Augmentin,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Tablet,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,2,1
8177,Atorvastatin,Atorin,Beximco,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
8178,Atorvastatin,Atorin,Beximco,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
8179,Paracetamol,Ace,Beximco,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Tablet,IV,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
8180,Losartan,Cozaar,Beximco,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Hypertension,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
8181,Omeprazole,Prilosec,Incepta,Antacid,Proton pump inhibitor,Small molecule,20 mg,Capsule,IV,Acid reflux,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
8182,Lisinopril,Prinivil,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Heart failure,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
8183,Atorvastatin,Storvas,Renata,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Headache,X,No,RX,1,1,1,0
8184,Atorvastatin,Atorin,Pfizer,Lipid-lowering,Statin,Small molecule,20 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Headache,X,No,RX,1,1,1,0
8185,Atorvastatin,Atorin,Renata,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
8186,Azithromycin,Zithromax,Pfizer,Antibiotic,Macrolide,Small molecule,250 mg,Syrup,Oral,Infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
8187,Cetirizine,Zyrtec,Square,Antihistamine,H1 antagonist,Small molecule,5 mg,Syrup,Oral,Allergic rhinitis,General,Headache,B,No,OTC,0,1,1,0
8188,Cetirizine,Cetrizin,Incepta,Antihistamine,H1 antagonist,Small molecule,10 mg,Tablet,Oral,Urticaria,General,Dry mouth,B,No,OTC,0,1,1,0
8189,Fluoxetine,Prozac,Square,Antidepressant,SSRI,Small molecule,40 mg,Tablet,Oral,Panic disorder,Neurological,Nausea,C,No,RX,0,1,1,0
8190,Amoxicillin + Clavulanate,Amoclav,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Syrup,Oral,Respiratory infection,Infectious,Nausea,B,No,RX,0,0,2,1
8191,Azithromycin,Azit,Incepta,Antibiotic,Macrolide,Small molecule,250 mg,Tablet,Oral,Skin infection,Infectious,Nausea,B,No,RX,0,0,1,0
8192,Amoxicillin + Clavulanate,Amoclav,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Syrup,Oral,Sinusitis,Infectious,Nausea,B,No,RX,0,0,2,1
8193,Fluoxetine,Fluoxin,Renata,Antidepressant,SSRI,Small molecule,40 mg,Capsule,Oral,Depression,Neurological,Insomnia,C,No,RX,0,1,1,0
8194,Fluoxetine,Depzac,Beximco,Antidepressant,SSRI,Small molecule,40 mg,Capsule,Oral,Depression,Neurological,Insomnia,C,No,RX,0,1,1,0
8195,Losartan,Losartan-MSD,Square,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
8196,Lisinopril,Listril,Merck,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
8197,Atorvastatin,Atocor,Pfizer,Lipid-lowering,Statin,Small molecule,10 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
8198,Ciprofloxacin,Ciprosin,Bayer,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Syrup,IV,Urinary tract infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
8199,Azithromycin,Zimax,Pfizer,Antibiotic,Macrolide,Small molecule,500 mg,Tablet,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
